27
17
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;;;;;;
;;;;2;2;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;
;;;2;;2;2;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;
;;;;2;2;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;
;;;;;;;;;;;;2;2;2;2;2;2;;;2;2;2;2;;;;
;;;;;;;;;;;;2;2;2;2;2;;;;;;;;;;;
;;;;;;;;;;;;2;2;2;2;2;;;;;;;;;;;
;;;;;;;;;;;2;2;2;2;2;2;;;;;;;;;;;
;;;;;;;;;;2;2;2;2;2;2;2;;;;;;;;;;;
;;;;;;;;;;2;2;2;2;2;2;2;;;;;;;;;;;
;;;;;;;;;;2;2;2;2;;;;;;;;;;;;;;
;;;;;;;;;;2;2;2;2;;;;;;;;;;;;;;
;;;;;;;;;;;2;2;2;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
