23
19
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;2;2;2;2;2;;;;2;;;;;;
;;;;;2;;;;;;;;2;2;2;2;2;2;;;;;
;;;;2;;2;;2;2;2;2;;;;2;2;2;2;2;;;;
;;2;;;2;;;2;2;2;2;2;2;;;;;2;2;;;;
;;2;2;;;;2;2;2;2;2;2;2;2;;;;;2;;;;
;;;2;2;2;2;;;;;;2;2;;;;;;2;;;;
;;;;;;;;;;;;;;;;;;;2;;;;
;;;;;;;;;;;;2;;;;;;;2;;;;
;;;;;;;;;;;;2;2;;;;;2;2;;;;
;;;;;;;;;;;;2;2;;;;;2;2;;;;
;;;;;;;;;;;;2;;;;;;;;;;;
;;;;;;;;;;;;2;;;;;;;;;;;
;;;;;;;;;;;;2;;2;2;;;;;;;;
;;;;;;;;;;;;2;;;2;2;2;2;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
